/Users/tom.wattley/Code/Projects/racing-api-project/racing-etl/src/pipelines/matching_pipeline.py:3: DeprecationWarning: 
Pyarrow will become a required dependency of pandas in the next major release of pandas (pandas 3.0),
(to allow more performant data types, such as the Arrow string type, and better interoperability with other libraries)
but was not found to be installed on your system.
If this would cause problems for you,
please provide us feedback at https://github.com/pandas-dev/pandas/issues/54466
        
  import pandas as pd
2024-03-25T15:50:05Z - INFO     logging_config.py:19 - Truncating staging.dam
2024-03-25T15:50:05Z - INFO     logging_config.py:19 - Executing query: TRUNCATE TABLE staging.dam
2024-03-25T15:50:06Z - INFO     logging_config.py:19 - Query executed. Number of rows affected: -1
2024-03-25T15:50:06Z - INFO     logging_config.py:19 - Storing 3 records in staging.dam
2024-03-25T15:50:06Z - INFO     logging_config.py:19 - Matching tf to rp
2024-03-25T15:51:47Z - INFO     logging_config.py:19 - Query SELECT * FROM rp_raw.formatted_rp_entities 
		 | returned 2325236 records |
2024-03-25T15:52:09Z - INFO     logging_config.py:19 - Matching jockeys
2024-03-25T15:52:15Z - INFO     logging_config.py:19 - Query SELECT * FROM tf_raw.unmatched_jockeys 
		 | returned 1 records |
2024-03-25T15:52:15Z - INFO     logging_config.py:19 - Found 1 unique jockeys
2024-03-25T15:52:15Z - INFO     logging_config.py:19 - Matching jockeys
2024-03-25T15:52:39Z - INFO     logging_config.py:19 - 0/1
2024-03-25T15:52:39Z - INFO     logging_config.py:19 - Entity name: williampike
2024-03-25T15:52:40Z - INFO     logging_config.py:19 - Matching jockey williampike on 2006-12-20
2024-03-25T15:52:40Z - INFO     logging_config.py:19 - Course ID: None
2024-03-25T15:52:40Z - INFO     logging_config.py:19 - No RP data found for jockey williampike on 2006-12-20
2024-03-25T15:52:40Z - INFO     logging_config.py:19 - No matches found for jockey
2024-03-25T15:52:40Z - INFO     logging_config.py:19 - Matching trainers
2024-03-25T15:52:44Z - INFO     logging_config.py:19 - Query SELECT * FROM tf_raw.unmatched_trainers 
		 | returned 2 records |
2024-03-25T15:52:44Z - INFO     logging_config.py:19 - Found 2 unique trainers
2024-03-25T15:52:44Z - INFO     logging_config.py:19 - Matching trainers
2024-03-25T15:52:59Z - INFO     logging_config.py:19 - 0/2
2024-03-25T15:52:59Z - INFO     logging_config.py:19 - Entity name: mrsgellis
2024-03-25T15:53:00Z - INFO     logging_config.py:19 - Matching trainer mrsgellis on 2024-03-22
2024-03-25T15:53:00Z - INFO     logging_config.py:19 - Course ID: 55
2024-03-25T15:53:00Z - INFO     logging_config.py:19 - Found match for trainer mrsgellis on 2024-03-22
2024-03-25T15:53:00Z - INFO     logging_config.py:19 - 1/2
2024-03-25T15:53:00Z - INFO     logging_config.py:19 - Entity name: misssklug
2024-03-25T15:53:00Z - INFO     logging_config.py:19 - Matching trainer misssklug on 2024-03-22
2024-03-25T15:53:00Z - INFO     logging_config.py:19 - Course ID: 55
2024-03-25T15:53:00Z - INFO     logging_config.py:19 - Found match for trainer misssklug on 2024-03-22
2024-03-25T15:53:00Z - INFO     logging_config.py:19 - Found 2 matches
2024-03-25T15:53:01Z - INFO     logging_config.py:19 - Truncating staging.trainer
2024-03-25T15:53:01Z - INFO     logging_config.py:19 - Executing query: TRUNCATE TABLE staging.trainer
2024-03-25T15:53:01Z - INFO     logging_config.py:19 - Query executed. Number of rows affected: -1
2024-03-25T15:53:01Z - INFO     logging_config.py:19 - Storing 2 records in staging.trainer
2024-03-25T15:53:01Z - INFO     logging_config.py:19 - Matching horses
2024-03-25T15:53:06Z - INFO     logging_config.py:19 - Query SELECT * FROM tf_raw.unmatched_horses 
		 | returned 10 records |
2024-03-25T15:53:06Z - INFO     logging_config.py:19 - Found 10 unique horses
2024-03-25T15:53:06Z - INFO     logging_config.py:19 - Matching horses
2024-03-25T15:53:17Z - INFO     logging_config.py:19 - 0/10
2024-03-25T15:53:17Z - INFO     logging_config.py:19 - Entity name: cmoncoyney
2024-03-25T15:53:17Z - INFO     logging_config.py:19 - Matching horse cmoncoyney on 2024-03-22
2024-03-25T15:53:17Z - INFO     logging_config.py:19 - Course ID: 56
2024-03-25T15:53:17Z - INFO     logging_config.py:19 - Found match for horse cmoncoyney on 2024-03-22
2024-03-25T15:53:17Z - INFO     logging_config.py:19 - Found match for horse cmoncoyney on 2024-03-22 except trainer
2024-03-25T15:53:17Z - INFO     logging_config.py:19 - 1/10
2024-03-25T15:53:17Z - INFO     logging_config.py:19 - Entity name: debtowings
2024-03-25T15:53:17Z - INFO     logging_config.py:19 - Matching horse debtowings on 2024-03-22
2024-03-25T15:53:17Z - INFO     logging_config.py:19 - Course ID: 47
